Serial Number of system during year,Basin of origin,Date(DD-MM-YYYY),Time (UTC),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,Grade (text),Year
1,ARB,15-11-1993 00:00,300,3,1002,45,CS,1993
1,ARB,15-11-1993 00:00,600,2.5,1004,35,CS,1993
1,ARB,15-11-1993 00:00,1200,2.5,1004,30,CS,1993
1,ARB,15-11-1993 00:00,1800,2.5,1004,30,CS,1993
1,ARB,15-11-1993 00:00,1800,2.5,1004,30,CS,1993
1,ARB,15-11-1993 00:00,1800,2.5,1004,30,CS,1993
2,ARB,08-11-1993 00:00,300,1.5,1000,25,D,1993
2,ARB,08-11-1993 00:00,600,1.5,1000,25,D,1993
2,ARB,08-11-1993 00:00,1200,1.5,1000,25,D,1993
2,ARB,08-11-1993 00:00,1800,1.5,1002,25,D,1993
2,ARB,09-11-1993 00:00,0,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,300,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,600,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1200,1.5,998,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
2,ARB,09-11-1993 00:00,1800,1.5,1000,25,D,1993
1,BOB,01-12-1993 00:00,600,1.5,1002,25,D,1993
1,BOB,01-12-1993 00:00,1200,2,1000,30,DD,1993
1,BOB,01-12-1993 00:00,1800,2,1002,30,DD,1993
1,BOB,02-12-1993 00:00,0,2,1002,30,DD,1993
1,BOB,02-12-1993 00:00,300,2,1000,30,DD,1993
1,BOB,02-12-1993 00:00,600,2.5,1002,30,DD,1993
1,BOB,02-12-1993 00:00,1200,3,996,45,CS,1993
1,BOB,02-12-1993 00:00,1800,3,996,45,CS,1993
1,BOB,03-12-1993 00:00,0,3,994,45,CS,1993
1,BOB,03-12-1993 00:00,300,3.5,988,55,SCS,1993
1,BOB,03-12-1993 00:00,600,3.5,988,55,SCS,1993
1,BOB,03-12-1993 00:00,1200,4,982,65,VSCS,1993
1,BOB,03-12-1993 00:00,1800,4,982,65,VSCS,1993
1,BOB,04-12-1993 00:00,0,4.5,976,77,VSCS,1993
1,BOB,04-12-1993 00:00,300,4.5,976,77,VSCS,1993
1,BOB,04-12-1993 00:00,600,5,968,90,SuCS,1993
1,BOB,04-12-1993 00:00,1200,2,998,30,DD,1993
1,BOB,04-12-1993 00:00,1200,2,998,30,DD,1993
1,BOB,04-12-1993 00:00,1200,2,998,30,DD,1993
1,BOB,04-12-1993 00:00,1200,2,998,30,DD,1993
1,BOB,04-12-1993 00:00,1200,2,998,30,DD,1993
2,BOB,19-12-1993 00:00,0,1.5,1008,25,D,1993
2,BOB,19-12-1993 00:00,300,1.5,1008,25,D,1993
2,BOB,19-12-1993 00:00,600,1.5,1008,25,D,1993
2,BOB,19-12-1993 00:00,1200,1.5,1006,30,DD,1993
2,BOB,19-12-1993 00:00,1800,1.5,1008,30,DD,1993
2,BOB,20-12-1993 00:00,0,1.5,1008,25,D,1993
2,BOB,20-12-1993 00:00,300,1.5,1008,25,D,1993
2,BOB,20-12-1993 00:00,600,1.5,1008,25,D,1993
2,BOB,20-12-1993 00:00,900,1.5,1008,25,D,1993
1,BOB,21-03-1994 00:00,1200,1.5,998.2494324,25,D,1994
1,BOB,21-03-1994 00:00,1800,1.5,998.2494324,25,D,1994
1,BOB,22-03-1994 00:00,0,1.5,998.2494324,25,D,1994
1,BOB,22-03-1994 00:00,600,1.5,998.2494324,25,D,1994
1,BOB,22-03-1994 00:00,1200,1.5,998.2494324,25,D,1994
1,BOB,22-03-1994 00:00,1800,1.5,998.2494324,25,D,1994
1,BOB,23-03-1994 00:00,0,1.5,998.2494324,25,D,1994
1,BOB,23-03-1994 00:00,600,1.5,998.2494324,25,D,1994
1,BOB,23-03-1994 00:00,1200,1.5,998.2494324,25,D,1994
1,BOB,23-03-1994 00:00,1800,1.5,998.2494324,25,D,1994
1,BOB,24-03-1994 00:00,0,1.5,998.2494324,25,D,1994
1,BOB,24-03-1994 00:00,600,1.5,998.2494324,25,D,1994
1,BOB,24-03-1994 00:00,600,1.5,998.2494324,25,D,1994
1,BOB,24-03-1994 00:00,600,1.5,998.2494324,25,D,1994
1,BOB,24-03-1994 00:00,600,1.5,998.2494324,25,D,1994
2,BOB,29-04-1994 00:00,0,1.5,1002,25,D,1994
2,BOB,29-04-1994 00:00,300,2,1001,30,DD,1994
2,BOB,29-04-1994 00:00,600,2,1001,30,DD,1994
2,BOB,29-04-1994 00:00,1200,2.5,998,35,CS,1994
2,BOB,29-04-1994 00:00,1800,3,994,45,CS,1994
2,BOB,30-04-1994 00:00,0,3,994,45,CS,1994
2,BOB,30-04-1994 00:00,300,3,994,45,CS,1994
2,BOB,30-04-1994 00:00,600,3,994,45,CS,1994
2,BOB,30-04-1994 00:00,1200,3.5,988,55,SCS,1994
2,BOB,30-04-1994 00:00,1800,3.5,988,55,SCS,1994
2,BOB,01-05-1994 00:00,0,3.5,986,60,VSCS,1994
2,BOB,01-05-1994 00:00,300,3.5,986,60,VSCS,1994
2,BOB,01-05-1994 00:00,600,3.5,986,60,VSCS,1994
2,BOB,01-05-1994 00:00,1200,4.5,972,77,VSCS,1994
2,BOB,01-05-1994 00:00,1800,5,962,90,SuCS,1994
2,BOB,02-05-1994 00:00,0,5.5,952,102,SuCS,1994
2,BOB,02-05-1994 00:00,300,5.5,952,102,SuCS,1994
2,BOB,02-05-1994 00:00,600,5.5,948,102,SuCS,1994
2,BOB,02-05-1994 00:00,1200,6,940,115,SuCS,1994
2,BOB,02-05-1994 00:00,1200,6,940,115,SuCS,1994
2,BOB,02-05-1994 00:00,1200,6,940,115,SuCS,1994
2,BOB,02-05-1994 00:00,1200,6,940,115,SuCS,1994
2,BOB,02-05-1994 00:00,1200,6,940,115,SuCS,1994
2,BOB,02-05-1994 00:00,1200,6,940,115,SuCS,1994
1,ARB,05-06-1994 00:00,1800,1.5,992,25,D,1994
1,ARB,06-06-1994 00:00,0,1.5,992,25,D,1994
1,ARB,06-06-1994 00:00,300,2,991,30,DD,1994
1,ARB,06-06-1994 00:00,600,2,990,30,DD,1994
1,ARB,06-06-1994 00:00,1200,2.5,988,35,CS,1994
1,ARB,06-06-1994 00:00,1800,2.5,988,35,CS,1994
1,ARB,07-06-1994 00:00,0,2.5,988,35,CS,1994
1,ARB,07-06-1994 00:00,300,2.5,988,35,CS,1994
1,ARB,07-06-1994 00:00,600,3,986,45,CS,1994
1,ARB,07-06-1994 00:00,1200,3.5,980,55,SCS,1994
1,ARB,07-06-1994 00:00,1800,3,984,45,CS,1994
1,ARB,08-06-1994 00:00,0,2.5,988,35,CS,1994
1,ARB,08-06-1994 00:00,300,2.5,988,35,CS,1994
1,ARB,08-06-1994 00:00,600,2.5,988,35,CS,1994
1,ARB,08-06-1994 00:00,1200,2,990,30,DD,1994
1,ARB,08-06-1994 00:00,1800,2,990,30,DD,1994
1,ARB,09-06-1994 00:00,0,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,300,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
1,ARB,09-06-1994 00:00,600,1.5,990,25,D,1994
3,BOB,29-10-1994 00:00,300,1.5,1006,25,D,1994
3,BOB,29-10-1994 00:00,600,1.5,1004,25,D,1994
3,BOB,29-10-1994 00:00,1200,2,1003,30,DD,1994
3,BOB,29-10-1994 00:00,1800,2,1005,30,DD,1994
3,BOB,30-10-1994 00:00,0,2,1004,30,DD,1994
3,BOB,30-10-1994 00:00,300,2.5,1002,35,CS,1994
3,BOB,30-10-1994 00:00,600,3,1000,45,CS,1994
3,BOB,30-10-1994 00:00,1200,3.5,992,55,SCS,1994
3,BOB,30-10-1994 00:00,1800,3.5,990,60,SCS,1994
3,BOB,31-10-1994 00:00,0,3.5,988,60,SCS,1994
3,BOB,31-10-1994 00:00,300,3.5,988.6627119,55,SCS,1994
3,BOB,31-10-1994 00:00,600,2.5,995.3747521,35,CS,1994
3,BOB,31-10-1994 00:00,1200,2,997.1939113,30,DD,1994
3,BOB,31-10-1994 00:00,1200,2,997.1939113,30,DD,1994
3,BOB,31-10-1994 00:00,1200,2,997.1939113,30,DD,1994
3,BOB,31-10-1994 00:00,1200,2,997.1939113,30,DD,1994
2,ARB,15-11-1994 00:00,300,1.5,1004,25,D,1994
2,ARB,15-11-1994 00:00,600,1.5,1006,25,D,1994
2,ARB,15-11-1994 00:00,1200,1.5,1006,25,D,1994
2,ARB,15-11-1994 00:00,1800,1.5,1006,25,D,1994
2,ARB,16-11-1994 00:00,0,1.5,1006,25,D,1994
2,ARB,16-11-1994 00:00,300,2,1004,30,DD,1994
2,ARB,16-11-1994 00:00,600,2,1002,30,DD,1994
2,ARB,16-11-1994 00:00,1200,2.5,1000,35,CS,1994
2,ARB,16-11-1994 00:00,1800,2.5,998,40,CS,1994
2,ARB,17-11-1994 00:00,0,2.5,998,40,CS,1994
2,ARB,17-11-1994 00:00,300,2.5,998,40,CS,1994
2,ARB,17-11-1994 00:00,600,2.5,998,35,CS,1994
2,ARB,17-11-1994 00:00,1200,2.5,998,35,CS,1994
2,ARB,17-11-1994 00:00,1800,2.5,998,35,CS,1994
2,ARB,18-11-1994 00:00,0,2.5,998,40,CS,1994
2,ARB,18-11-1994 00:00,300,2.5,998,40,CS,1994
2,ARB,18-11-1994 00:00,600,2.5,998,40,CS,1994
2,ARB,18-11-1994 00:00,1200,2.5,998,40,CS,1994
2,ARB,18-11-1994 00:00,1800,3,996,45,CS,1994
2,ARB,19-11-1994 00:00,0,3.5,990,55,SCS,1994
2,ARB,19-11-1994 00:00,300,4,984,65,VSCS,1994
2,ARB,19-11-1994 00:00,600,4,984,65,VSCS,1994
2,ARB,19-11-1994 00:00,1200,3.5,990,55,SCS,1994
2,ARB,19-11-1994 00:00,1800,3,994,45,CS,1994
2,ARB,20-11-1994 00:00,0,2.5,996,35,CS,1994
2,ARB,20-11-1994 00:00,300,2.5,995.3747521,35,CS,1994
2,ARB,20-11-1994 00:00,300,2.5,995.3747521,35,CS,1994
2,ARB,20-11-1994 00:00,300,2.5,995.3747521,35,CS,1994
2,ARB,20-11-1994 00:00,300,2.5,995.3747521,35,CS,1994
2,ARB,20-11-1994 00:00,300,2.5,995.3747521,35,CS,1994
1,BOB,05-05-1995 00:00,2100,1.5,998,25,D,1995
1,BOB,06-05-1995 00:00,0,1.5,998,25,D,1995
1,BOB,06-05-1995 00:00,300,1.5,998,25,D,1995
1,BOB,06-05-1995 00:00,600,1.5,997,25,D,1995
1,BOB,06-05-1995 00:00,900,2,996,30,DD,1995
1,BOB,06-05-1995 00:00,1200,1.5,998.2494324,23.98173662,D,1995
1,BOB,06-05-1995 00:00,1800,1.5,998.2494324,23.98173662,D,1995
2,BOB,08-05-1995 00:00,1800,1.5,998,25,D,1995
2,BOB,09-05-1995 00:00,0,1.5,998,25,D,1995
2,BOB,09-05-1995 00:00,300,1.5,998,25,D,1995
2,BOB,09-05-1995 00:00,600,1.5,997,25,D,1995
2,BOB,09-05-1995 00:00,900,2,996,30,DD,1995
2,BOB,09-05-1995 00:00,1200,2,996,30,DD,1995
2,BOB,09-05-1995 00:00,1800,2,997.1939113,30,DD,1995
2,BOB,10-05-1995 00:00,0,1.5,998.2494324,25,D,1995
2,BOB,10-05-1995 00:00,300,1.5,998.2494324,25,D,1995
2,BOB,10-05-1995 00:00,600,1.5,998.2494324,25,D,1995
2,BOB,10-05-1995 00:00,900,1.5,998.2494324,25,D,1995
2,BOB,10-05-1995 00:00,900,1.5,998.2494324,25,D,1995
3,BOB,14-05-1995 00:00,1800,1.5,998,25,D,1995
3,BOB,15-05-1995 00:00,300,2,996,30,DD,1995
3,BOB,15-05-1995 00:00,1200,2,996,30,DD,1995
3,BOB,15-05-1995 00:00,1800,2,996,30,DD,1995
3,BOB,16-05-1995 00:00,0,2,996,30,DD,1995
3,BOB,16-05-1995 00:00,300,2,996,30,DD,1995
3,BOB,16-05-1995 00:00,600,2,997.1939113,30,DD,1995
3,BOB,16-05-1995 00:00,1200,2,997.1939113,30,DD,1995
3,BOB,16-05-1995 00:00,1800,2,997.1939113,30,DD,1995
3,BOB,17-05-1995 00:00,0,2,997.1939113,30,DD,1995
3,BOB,17-05-1995 00:00,300,2,997.1939113,30,DD,1995
3,BOB,17-05-1995 00:00,600,1.5,998.2494324,25,D,1995
3,BOB,17-05-1995 00:00,1200,1.5,998.2494324,25,D,1995
3,BOB,17-05-1995 00:00,1800,1.5,998.2494324,25,D,1995
3,BOB,18-05-1995 00:00,0,1.5,998.2494324,23.98173662,D,1995
3,BOB,18-05-1995 00:00,0,1.5,998.2494324,23.98173662,D,1995
3,BOB,18-05-1995 00:00,0,1.5,998.2494324,23.98173662,D,1995
4,BOB,16-09-1995 00:00,600,1.5,998,25,D,1995
4,BOB,16-09-1995 00:00,1200,1.5,998,25,D,1995
4,BOB,17-09-1995 00:00,0,1.5,998,25,D,1995
4,BOB,17-09-1995 00:00,300,1.5,998.2494324,25,D,1995
4,BOB,17-09-1995 00:00,1200,1.5,998.2494324,25,D,1995
4,BOB,17-09-1995 00:00,1200,1.5,998.2494324,25,D,1995
4,BOB,17-09-1995 00:00,1200,1.5,998.2494324,25,D,1995
5,BOB,26-09-1995 00:00,300,1.5,1000,25,D,1995
5,BOB,26-09-1995 00:00,1200,1.5,998.2494324,23.98173662,D,1995
5,BOB,26-09-1995 00:00,1800,1.5,998.2494324,23.98173662,D,1995
5,BOB,27-09-1995 00:00,0,1.5,998.2494324,23.98173662,D,1995
5,BOB,27-09-1995 00:00,600,1.5,998.2494324,23.98173662,D,1995
5,BOB,27-09-1995 00:00,1200,1.5,998.2494324,23.98173662,D,1995
5,BOB,27-09-1995 00:00,1800,1.5,998.2494324,23.98173662,D,1995
5,BOB,28-09-1995 00:00,0,1.5,998.2494324,23.98173662,D,1995
5,BOB,28-09-1995 00:00,300,1.5,998.2494324,23.98173662,D,1995
5,BOB,28-09-1995 00:00,300,1.5,998.2494324,23.98173662,D,1995
5,BOB,28-09-1995 00:00,300,1.5,998.2494324,23.98173662,D,1995
6,ARB,12-10-1995 00:00,1200,1.5,1008,25,D,1995
6,ARB,12-10-1995 00:00,1800,1.5,1007,25,D,1995
6,ARB,13-10-1995 00:00,300,1.5,1006,25,D,1995
6,ARB,13-10-1995 00:00,600,1.5,1006,25,D,1995
6,ARB,13-10-1995 00:00,1200,2,1004,30,DD,1995
6,ARB,13-10-1995 00:00,1800,2,1004,30,DD,1995
6,ARB,14-10-1995 00:00,300,2.5,1000,35,CS,1995
6,ARB,14-10-1995 00:00,600,2.5,1000,35,CS,1995
6,ARB,14-10-1995 00:00,1200,3,998,45,CS,1995
6,ARB,14-10-1995 00:00,1800,3,996,45,CS,1995
6,ARB,15-10-1995 00:00,0,2.5,1000,35,CS,1995
6,ARB,15-10-1995 00:00,300,2.5,1000,35,CS,1995
6,ARB,15-10-1995 00:00,600,2.5,1000,35,CS,1995
6,ARB,15-10-1995 00:00,1200,2.5,1000,35,CS,1995
6,ARB,15-10-1995 00:00,1800,2.5,1000,35,CS,1995
6,ARB,16-10-1995 00:00,0,2.5,1000,35,CS,1995
6,ARB,16-10-1995 00:00,300,2.5,1000,35,CS,1995
6,ARB,16-10-1995 00:00,600,2.5,1000,35,CS,1995
6,ARB,16-10-1995 00:00,1200,2,1002,30,DD,1995
6,ARB,16-10-1995 00:00,1800,2,1002,30,DD,1995
6,ARB,17-10-1995 00:00,0,2,1002,30,DD,1995
6,ARB,17-10-1995 00:00,300,1.5,1004,25,D,1995
6,ARB,17-10-1995 00:00,600,1.5,1004,25,D,1995
6,ARB,17-10-1995 00:00,1200,1.5,1004,25,D,1995
6,ARB,17-10-1995 00:00,1200,1.5,1004,25,D,1995
6,ARB,17-10-1995 00:00,1200,1.5,1004,25,D,1995
7,BOB,07-11-1995 00:00,300,1.5,1000,25,D,1995
7,BOB,07-11-1995 00:00,600,1.5,1000,25,D,1995
7,BOB,07-11-1995 00:00,1200,2,996,30,DD,1995
7,BOB,08-11-1995 00:00,0,2.5,996,35,CS,1995
7,BOB,08-11-1995 00:00,300,3,996,45,CS,1995
7,BOB,08-11-1995 00:00,600,3,996,45,CS,1995
7,BOB,08-11-1995 00:00,1200,3.5,990,55,SCS,1995
7,BOB,08-11-1995 00:00,1800,4,984,65,VSCS,1995
7,BOB,09-11-1995 00:00,0,4,984,65,VSCS,1995
7,BOB,09-11-1995 00:00,300,4.5,978,77,VSCS,1995
7,BOB,09-11-1995 00:00,1200,2.5,995.3747521,39.72175049,CS,1995
7,BOB,09-11-1995 00:00,1800,2.5,995.3747521,39.72175049,CS,1995
7,BOB,10-11-1995 00:00,0,2.5,995.3747521,39.72175049,CS,1995
7,BOB,10-11-1995 00:00,300,2.5,997.1939113,29.60784314,DD,1995
7,BOB,10-11-1995 00:00,600,2.5,997.1939113,29.60784314,DD,1995
7,BOB,10-11-1995 00:00,900,1.5,998.2494324,23.98173662,D,1995
7,BOB,10-11-1995 00:00,900,1.5,998.2494324,23.98173662,D,1995
7,BOB,10-11-1995 00:00,900,1.5,998.2494324,23.98173662,D,1995
8,BOB,21-11-1995 00:00,1200,1.5,1002,25,D,1995
8,BOB,21-11-1995 00:00,1800,1.5,1002,25,D,1995
8,BOB,22-11-1995 00:00,0,1.5,1002,25,D,1995
8,BOB,22-11-1995 00:00,300,2,1000,30,DD,1995
8,BOB,22-11-1995 00:00,600,2,1000,30,DD,1995
8,BOB,22-11-1995 00:00,1200,2.5,998,35,CS,1995
8,BOB,22-11-1995 00:00,1800,3,994,45,CS,1995
8,BOB,23-11-1995 00:00,0,3,994,45,CS,1995
8,BOB,23-11-1995 00:00,300,3.5,990,55,SCS,1995
8,BOB,23-11-1995 00:00,600,3.5,990,55,SCS,1995
8,BOB,23-11-1995 00:00,1200,3.5,988,55,SCS,1995
8,BOB,23-11-1995 00:00,1800,4,984,65,VSCS,1995
8,BOB,24-11-1995 00:00,0,4.5,976,77,VSCS,1995
8,BOB,24-11-1995 00:00,300,5,964,90,SuCS,1995
8,BOB,24-11-1995 00:00,600,5,960,90,SuCS,1995
8,BOB,24-11-1995 00:00,1200,5.5,956,102,SuCS,1995
8,BOB,24-11-1995 00:00,1800,5,962,90,SuCS,1995
8,BOB,25-11-1995 00:00,0,4.5,970,77,VSCS,1995
8,BOB,25-11-1995 00:00,300,4.5,972,77,VSCS,1995
8,BOB,25-11-1995 00:00,600,4,978,65,SCS,1995
1,BOB,07-05-1996 00:00,300,1,1004,15,D,1996
1,BOB,07-05-1996 00:00,600,1.5,1002,25,D,1996
1,BOB,07-05-1996 00:00,1200,1.5,1002,25,D,1996
1,BOB,07-05-1996 00:00,1800,2,1000,30,DD,1996
1,BOB,08-05-1996 00:00,0,2,1000,30,DD,1996
1,BOB,08-05-1996 00:00,0,2,1000,30,DD,1996
1,BOB,08-05-1996 00:00,0,2,1000,30,DD,1996
2,BOB,12-06-1996 00:00,1200,1.5,998,25,D,1996
2,BOB,12-06-1996 00:00,1800,1.5,998,25,D,1996
2,BOB,13-06-1996 00:00,0,1.5,998,25,D,1996
2,BOB,13-06-1996 00:00,300,2,996,30,DD,1996
2,BOB,13-06-1996 00:00,600,2,996,30,DD,1996
2,BOB,13-06-1996 00:00,1200,2,996,30,DD,1996
2,BOB,13-06-1996 00:00,1800,2,996,30,DD,1996
2,BOB,14-06-1996 00:00,0,2.5,994,35,CS,1996
2,BOB,14-06-1996 00:00,300,2.5,994,35,CS,1996
2,BOB,14-06-1996 00:00,600,2.5,994,35,CS,1996
2,BOB,14-06-1996 00:00,1200,2.5,994,35,CS,1996
2,BOB,14-06-1996 00:00,1800,2.5,994,35,CS,1996
2,BOB,15-06-1996 00:00,0,2.5,994,35,CS,1996
2,BOB,15-06-1996 00:00,300,2.5,994,35,CS,1996
2,BOB,15-06-1996 00:00,600,2.5,992,35,CS,1996
2,BOB,15-06-1996 00:00,1200,3,992,45,CS,1996
2,BOB,15-06-1996 00:00,1800,3,992,45,CS,1996
2,BOB,16-06-1996 00:00,0,3,992,45,CS,1996
2,BOB,16-06-1996 00:00,300,3,992,45,CS,1996
2,BOB,16-06-1996 00:00,600,3,995.3747521,39.72175049,CS,1996
2,BOB,16-06-1996 00:00,600,3,995.3747521,39.72175049,CS,1996
2,BOB,16-06-1996 00:00,600,3,995.3747521,39.72175049,CS,1996
3,ARB,17-06-1996 00:00,900,1.5,990,25,D,1996
3,ARB,17-06-1996 00:00,1200,1.5,988,25,D,1996
3,ARB,17-06-1996 00:00,1800,2,986,30,DD,1996
3,ARB,18-06-1996 00:00,0,2,986,30,DD,1996
3,ARB,18-06-1996 00:00,300,2,984,30,DD,1996
3,ARB,18-06-1996 00:00,600,2,984,30,DD,1996
3,ARB,18-06-1996 00:00,900,2.5,982,35,CS,1996
3,ARB,18-06-1996 00:00,1200,3,980,45,CS,1996
3,ARB,18-06-1996 00:00,1800,3.5,976,55,SCS,1996
3,ARB,19-06-1996 00:00,0,3.5,972,60,SCS,1996
3,ARB,19-06-1996 00:00,300,2.5,995.3747521,39.72175049,CS,1996
3,ARB,19-06-1996 00:00,600,2.5,995.3747521,39.72175049,CS,1996
3,ARB,19-06-1996 00:00,1200,2.5,995.3747521,39.72175049,CS,1996
3,ARB,19-06-1996 00:00,1800,2.5,997.1939113,29.60784314,DD,1996
3,ARB,20-06-1996 00:00,0,1.5,998.2494324,23.98173662,D,1996
3,ARB,20-06-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
3,ARB,20-06-1996 00:00,600,1.5,998.2494324,23.98173662,D,1996
3,ARB,20-06-1996 00:00,600,1.5,998.2494324,23.98173662,D,1996
3,ARB,20-06-1996 00:00,600,1.5,998.2494324,23.98173662,D,1996
4,LAND,26-07-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
4,LAND,26-07-1996 00:00,1200,1.5,998.2494324,23.98173662,D,1996
4,LAND,27-07-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
4,LAND,27-07-1996 00:00,1200,1.5,998.2494324,23.98173662,D,1996
4,LAND,28-07-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
4,LAND,28-07-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
4,LAND,28-07-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
4,LAND,28-07-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
5,BOB,01-10-1996 00:00,300,1.5,1002,25,D,1996
5,BOB,01-10-1996 00:00,600,1.5,1002,25,D,1996
5,BOB,01-10-1996 00:00,1200,1.5,1000,25,D,1996
5,BOB,01-10-1996 00:00,1800,1.5,1000,25,D,1996
5,BOB,02-10-1996 00:00,0,1.5,998.2494324,23.98173662,D,1996
5,BOB,02-10-1996 00:00,300,1.5,998.2494324,23.98173662,D,1996
5,BOB,02-10-1996 00:00,600,1.5,998.2494324,23.98173662,D,1996
5,BOB,02-10-1996 00:00,600,1.5,998.2494324,23.98173662,D,1996
5,BOB,02-10-1996 00:00,600,1.5,998.2494324,23.98173662,D,1996
6,ARB,22-10-1996 00:00,900,1.5,1000,25,D,1996
6,ARB,22-10-1996 00:00,1200,1.5,1000,25,D,1996
6,ARB,22-10-1996 00:00,1800,2,1000,30,DD,1996
6,ARB,23-10-1996 00:00,0,2,1000,30,DD,1996
6,ARB,23-10-1996 00:00,300,2,1000,30,DD,1996
6,ARB,23-10-1996 00:00,600,2,1000,30,DD,1996
6,ARB,23-10-1996 00:00,900,2.5,998,35,CS,1996
6,ARB,23-10-1996 00:00,1200,3,998,45,CS,1996
6,ARB,23-10-1996 00:00,1800,3.5,996,55,SCS,1996
6,ARB,24-10-1996 00:00,0,3.5,996,55,SCS,1996
6,ARB,24-10-1996 00:00,300,3.5,994,60,SCS,1996
6,ARB,24-10-1996 00:00,600,3.5,994,60,SCS,1996
6,ARB,24-10-1996 00:00,1200,3.5,994,55,SCS,1996
6,ARB,24-10-1996 00:00,1800,3.5,994,55,SCS,1996
6,ARB,25-10-1996 00:00,0,3,996,45,CS,1996
6,ARB,25-10-1996 00:00,300,2.5,998,35,CS,1996
6,ARB,25-10-1996 00:00,600,2,1000,30,DD,1996
6,ARB,25-10-1996 00:00,1200,1.5,1002,25,D,1996
6,ARB,26-10-1996 00:00,0,1.5,1002,25,D,1996
6,ARB,26-10-1996 00:00,300,1.5,1002,25,D,1996
6,ARB,26-10-1996 00:00,600,1.5,1002,25,D,1996
6,ARB,26-10-1996 00:00,1200,1.5,1002,25,D,1996
6,ARB,26-10-1996 00:00,1800,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,0,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,300,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,600,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,900,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,1200,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,1200,1.5,1002,25,D,1996
6,ARB,27-10-1996 00:00,1200,1.5,1002,25,D,1996
7,BOB,27-10-1996 00:00,300,1.5,1000,25,D,1996
7,BOB,27-10-1996 00:00,600,1.5,1000,25,D,1996
7,BOB,27-10-1996 00:00,1200,1.5,1000,25,D,1996
7,BOB,27-10-1996 00:00,1800,2,998,30,DD,1996
7,BOB,28-10-1996 00:00,0,2,998,30,DD,1996
7,BOB,28-10-1996 00:00,300,2,998,30,DD,1996
7,BOB,28-10-1996 00:00,600,2,998,30,DD,1996
7,BOB,28-10-1996 00:00,1200,2,998,30,DD,1996
7,BOB,28-10-1996 00:00,1800,2,998,30,DD,1996
7,BOB,29-10-1996 00:00,0,2,998.2494324,23.98173662,D,1996
7,BOB,29-10-1996 00:00,0,2,998.2494324,23.98173662,D,1996
7,BOB,29-10-1996 00:00,0,2,998.2494324,23.98173662,D,1996
8,BOB,04-11-1996 00:00,1500,1.5,1002,25,D,1996
8,BOB,04-11-1996 00:00,1800,1.5,1002,25,D,1996
8,BOB,05-11-1996 00:00,0,1.5,1002,25,D,1996
8,BOB,05-11-1996 00:00,300,2,1000,30,DD,1996
8,BOB,05-11-1996 00:00,600,2,1000,30,DD,1996
8,BOB,05-11-1996 00:00,900,2.5,992,35,CS,1996
8,BOB,05-11-1996 00:00,1200,3,992,45,CS,1996
8,BOB,05-11-1996 00:00,1800,3,992,45,CS,1996
8,BOB,06-11-1996 00:00,0,3,992,45,CS,1996
8,BOB,06-11-1996 00:00,100,3.5,990,55,SCS,1996
8,BOB,06-11-1996 00:00,300,3.5,990,55,SCS,1996
8,BOB,06-11-1996 00:00,600,4,988,65,VSCS,1996
8,BOB,06-11-1996 00:00,900,4.5,988,77,VSCS,1996
8,BOB,06-11-1996 00:00,1200,4.5,988,77,VSCS,1996
8,BOB,06-11-1996 00:00,1800,3.5,990,55,SCS,1996
8,BOB,07-11-1996 00:00,0,2.5,995.3747521,39.72175049,CS,1996
8,BOB,07-11-1996 00:00,300,2.5,997.1939113,29.60784314,DD,1996
